name,sku,price,stock_qty,warranty_months,thumbnail_url,category,description,brand
NVR-9336Ai (Dinamikli),NVR-9336Ai--Dinamikli,720,10,24,"https://static.wixstatic.com/media/f39d46_7746909d262b458aa95a7f84f38d628c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""NVR-9336A-AI.16CH (5MP/3M/2M/1.3M/1M) H.265+/H.264.HDD:2pcs x 8TB SATA HDD Port ,Audio: 1CH Out ;. Incoming Bandwidth: 320Mb;  . Playback: 1CH 5MP,4CH 1080p, 4/8CH D1; .HDMI ,VGA, USB,Onvif2.4,.Support, humanoid, face detection, AI function;.speaker .Size: (L)310*(W) 210* ( H )42mm,  1.1kg ; """,
NVR-6036Ai,NVR-6036Ai,620,10,24,"https://static.wixstatic.com/media/f39d46_b28b9936a39b4f168655b6c70c79eae8~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""NVR-6036B-AI1. 36CH 5MP/3M/2M/1.3M/1M, 16CH 8MP, H.265+2. HDD:2pcs x 8TB SATA HDD Port ,Audio: 1CH Out ;3. Incoming Bandwidth: 320Mb;  4. Playback:1CH 5MP,4CH 1080p, 4/8CH D1 5. HDMI ,VGA, USB,Onvif2.4,6. Support, humanoid, face detection, Ai function;7.Size: (L)255*(W) 218* ( H )42mm,  1.1kg""",
NVR-9116Ai (Dinamikli),NVR-9116Ai--Dinamikli,460,10,24,"https://static.wixstatic.com/media/f39d46_7746909d262b458aa95a7f84f38d628c~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""NVR-9116A-AI.16CH (5MP/3M/2M/1.3M/1M) H.265+/H.264.HDD:2pcs x 8TB SATA HDD Port ,Audio: 1CH Out ;. Incoming Bandwidth: 320Mb;  . Playback: 1CH 5MP,4CH 1080p, 4/8CH D1; .HDMI ,VGA, USB,Onvif2.4,.Support, humanoid, face detection, AI function;.speaker .Size: (L)310*(W) 210* ( H )42mm,  1.1kg ; """,
NVR-8016B (mini 20sm),NVR-8016B--mini-20sm,355,10,24,"https://static.wixstatic.com/media/f39d46_07f0701c858648588d772423bb2f7dcc~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""NVR-8016B-Ai.16CH (5MP/3M/2M/1.3M/1M) H.265+/H.264.HDD:1pcs x 8TB SATA HDD Port ,Audio: 1CH Out ;. Incoming Bandwidth: 160Mb;  . Playback: 1CH 5MP,4CH 1080p, 4/8CH D1; .HDMI ,VGA, USB,Onvif2.4,.Support, humanoid, face detection, AI function;.    .Size: 200*175* 42mm,  0.8kg""",
NVR-5016C-Ai,NVR-5016C-Ai,410,10,24,"https://static.wixstatic.com/media/f39d46_08edc8c278c74a21a42df74963453894~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""NVR-5016C-AI.16CH (5MP/3M/2M/1.3M/1M) H.265+/H.264.HDD:1pcs x 8TB SATA HDD Port ,Audio: 1CH Out ;. Incoming Bandwidth: 160Mb;  . Playback: 1CH 5MP,4CH 1080p, 4/8CH D1; .HDMI ,VGA, USB,Onvif2.4,.Support, humanoid, face detection, AI function;.Size: (L)255*(W) 218* ( H )42mm,  1.1kg""",
NVR-8009A-AI,NVR-8009A-AI,230,10,24,"https://static.wixstatic.com/media/f39d46_08edc8c278c74a21a42df74963453894~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,"""NVR-8009A-AI1. 9CH 4K H.265+/H.2642. HDD:1x 8TB SATA HDD Port ,Audio: 1CH Out ;3. Incoming Bandwidth: 80Mb;  4. Playback: 1CH 5MP,4CH 1080p, 4/8CH D1; 5. HDMI ,VGA, USB,Onvif2.4,6. Support, humanoid, face detection, AI function 7. Size: (L)255*(W) 218* ( H )42mm,  1.1kg""",
Tanıtım kompaniyası ,Tan-t-m-kompaniyas,650,10,24,"https://static.wixstatic.com/media/f39d46_5b6107b863934e79a198d691a8a9a1e9~mv2.png/v1/fit/w_500,h_500,q_90/file.png",,Avtomatik əlavə edilmiş: Tanıtım kompaniyası ,
42U Rack cabinet ,42U-Rack-cabinet,1520,10,24,"https://static.wixstatic.com/media/f39d46_612206803cd845fbb91fde79f36d80bb~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,800*1200 indoor wall mounted Rack cabinet,
42U Rack cabinet ,42U-Rack-cabinet,1400,10,24,"https://static.wixstatic.com/media/f39d46_612206803cd845fbb91fde79f36d80bb~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,800*1000 indoor wall mounted Rack cabinet,
42 U Rack cabinet ,42-U-Rack-cabinet,1280,10,24,"https://static.wixstatic.com/media/f39d46_612206803cd845fbb91fde79f36d80bb~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,800*800 indoor wall mounted Rack cabinet,
